Genus	Basepaws_MissYvonne	Basepaws_WGS1	Basepaws_WGS2
Octadecabacter	216	99	2433
Pseudorhodobacter	204	88	737
Silicimonas	203	136	2263
Yangia	198	95	4740
Pannonibacter	175	133	4249
Paraoceanicella	147	101	3896
Stappia	146	100	5216
Ketogulonicigenium	134	70	4762
Tateyamaria	129	47	621
Pelagibaca	119	77	1219
Roseivivax	114	50	4478
Sagittula	107	91	1953
Epibacterium	107	75	1863
Roseobacter	106	68	1882
Boseongicola	104	58	1130
Antarctobacter	99	37	2986
Confluentimicrobium	98	91	4846
Sedimentitalea	98	65	1051
Oceanicola	95	20	3322
Pseudovibrio	93	58	918
Haematobacter	93	86	2366
Roseibacterium	90	37	744
Halovulum	85	48	721
Gemmobacter	82	31	7109
Fluviibacterium	66	30	2093
Tabrizicola	55	31	664
Marinovum	55	42	2297
Litoreibacter	54	17	836
Rhodobaca	46	39	206
Defluviimonas	39	49	2181
Brevirhabdus	38	23	3178
Halocynthiibacter	35	17	224
Marivivens	34	34	384
Thalassococcus	33	20	708
Salipiger	30	19	4201
Jannaschia	30	27	1072
Maribius	26	16	265
Pseudohalocynthiibacter	21	25	969
Yoonia	15	6	2571
Thioclava	10	5	634
Hyphomonas	163	99	7153
Maricaulis	123	66	2377
Hirschia	98	57	139
Glycocaulis	17	10	2516
Sphingomonas	1992	1424	45916
Sphingobium	1390	898	33469
Novosphingobium	866	548	10689
Sphingopyxis	704	538	19919
Sphingorhabdus	341	183	3779
Zymomonas	199	8758	1106
Sphingosinicella	139	104	4387
Blastomonas	86	61	1764
Rhizorhabdus	43	39	1648
Sphingosinithalassobacter	41	26	1641
Tardibacter	40	18	3463
Citromicrobium	18	22	1864
Altererythrobacter	663	389	10605
Porphyrobacter	605	398	3316
Erythrobacter	536	352	12445
Croceicoccus	165	130	3214
Qipengyuania	15	12	3098
Azospirillum	1198	895	38333
Hypericibacter	432	212	7064
CandidatusEndolissoclinum	295	175	219
Magnetospirillum	263	210	25835
Thalassospira	258	200	6190
Nitrospirillum	175	89	3080
Niveispirillum	120	62	6172
Skermanella	112	78	1105
Tistrella	112	54	4635
Rhodospirillum	100	67	9374
Pararhodospirillum	94	59	2525
Magnetospira	61	42	981
Ferrovibrio	54	39	3840
Indioceanicola	53	25	3298
Haematospirillum	13	20	724
Acetobacter	867	541	7262
Komagataeibacter	592	427	13387
Gluconobacter	394	255	1357
Commensalibacter	280	150	548
Granulibacter	141	81	2973
Roseomonas	114	80	7145
Gluconacetobacter	107	59	1494
Stella	75	26	1236
Neokomagataea	71	66	1367
Parasaccharibacter	68	48	968
Neoasaia	62	46	502
Bombella	55	19	932
Swingsia	53	61	590
Asaia	48	17	567
Acidiphilium	29	32	2368
Kozakia	21	21	1122
Acidibrevibacterium	20	24	1728
Rickettsia	1398	1135	4208
Orientia	450	234	580
CandidatusSneabacter	45	9	69
